WARNING: TIME INFORMATION IS LOCALTIME  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;R2S-UMB ID1 precipitation absol. [l/m²] Act;R2S-UMB ID1 precipitation type [] Act;R2S-UMB ID1 precipitation diff. [l/m²] Act;R2S-UMB ID1 precipitation diff. [mm] Act;R2S-UMB ID1 precipitation absol. [mm] Act;R2S-UMB ID1 sum of drizzle-drops [events] Act;R2S-UMB ID1 sum of rain-drops [events] Act;R2S-UMB ID1 sum of hail [events] Act;R2S-UMB ID1 sum of particles [events] Act;R2S-UMB ID1 drizzle flag [] Act;R2S-UMB ID1 rain flag [] Act;R2S-UMB ID1 snow flag [] Act;R2S-UMB ID1 hail flag [] Act;R2S-UMB ID1 ambient temperature [°C] Act;R2S-UMB ID1 sum of snow-flakes [] Act;R2S-UMB ID1 precipitat.intensity [in/h] Act;R2S-UMB ID1 sum of hail [] Act
2017-04-22 21:04:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.9900;    0;0.0000;    0
2017-04-22 21:05:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;20.0700;    0;0.0000;    0
2017-04-22 21:06:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.9900;    0;0.0000;    0
2017-04-22 21:07:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.9000;    0;0.0000;    0
2017-04-22 21:08:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.9900;    0;0.0000;    0
2017-04-22 21:09:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.9900;    0;0.0000;    0
2017-04-22 21:10:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.9900;    0;0.0000;    0
2017-04-22 21:11:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.9900;    0;0.0000;    0
2017-04-22 21:12:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.9000;    0;0.0000;    0
2017-04-22 21:13:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.9000;    0;0.0000;    0
2017-04-22 21:14:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.9000;    0;0.0000;    0
2017-04-22 21:15:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.8200;    0;0.0000;    0
2017-04-22 21:16:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.9000;    0;0.0000;    0
2017-04-22 21:17:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.9000;    0;0.0000;    0
2017-04-22 21:18:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.9000;    0;0.0000;    0
2017-04-22 21:19:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.9900;    0;0.0000;    0
2017-04-22 21:20:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.8200;    0;0.0000;    0
2017-04-22 21:21:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.9000;    0;0.0000;    0
2017-04-22 21:22:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.9000;    0;0.0000;    0
2017-04-22 21:23:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.8200;    0;0.0000;    0
2017-04-22 21:24:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.8200;    0;0.0000;    0
2017-04-22 21:25:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.8200;    0;0.0000;    0
2017-04-22 21:26:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.8200;    0;0.0000;    0
2017-04-22 21:27:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.8200;    0;0.0000;    0
2017-04-22 21:28:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.8200;    0;0.0000;    0
2017-04-22 21:29:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.8200;    0;0.0000;    0
2017-04-22 21:30:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.9000;    0;0.0000;    0
2017-04-22 21:31:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.9000;    0;0.0000;    0
2017-04-22 21:32:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.8200;    0;0.0000;    0
2017-04-22 21:33:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.8200;    0;0.0000;    0
2017-04-22 21:34:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.7400;    0;0.0000;    0
2017-04-22 21:35:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.7400;    0;0.0000;    0
2017-04-22 21:36:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.7400;    0;0.0000;    0
2017-04-22 21:37:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.8200;    0;0.0000;    0
2017-04-22 21:38:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.8200;    0;0.0000;    0
2017-04-22 21:39:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.7400;    0;0.0000;    0
2017-04-22 21:40:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.7400;    0;0.0000;    0
2017-04-22 21:41:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.7400;    0;0.0000;    0
2017-04-22 21:42:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.6500;    0;0.0000;    0
2017-04-22 21:43:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.7400;    0;0.0000;    0
2017-04-22 21:44:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.6500;    0;0.0000;    0
2017-04-22 21:45:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.7400;    0;0.0000;    0
2017-04-22 21:46:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.7400;    0;0.0000;    0
2017-04-22 21:47:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.7400;    0;0.0000;    0
2017-04-22 21:48:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.6500;    0;0.0000;    0
2017-04-22 21:49:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.6500;    0;0.0000;    0
2017-04-22 21:50:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.6500;    0;0.0000;    0
2017-04-22 21:51:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.6500;    0;0.0000;    0
2017-04-22 21:52:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.6500;    0;0.0000;    0
2017-04-22 21:53:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.6500;    0;0.0000;    0
2017-04-22 21:54:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.5700;    0;0.0000;    0
2017-04-22 21:55:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.5700;    0;0.0000;    0
2017-04-22 21:56:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.6500;    0;0.0000;    0
2017-04-22 21:57:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.6500;    0;0.0000;    0
2017-04-22 21:58:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.5700;    0;0.0000;    0
2017-04-22 21:59:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.5700;    0;0.0000;    0
2017-04-22 22:00:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.5700;    0;0.0000;    0
2017-04-22 22:01:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.4800;    0;0.0000;    0
2017-04-22 22:02:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.4800;    0;0.0000;    0
2017-04-22 22:03:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.4800;    0;0.0000;    0
2017-04-22 22:04:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.4800;    0;0.0000;    0
2017-04-22 22:05:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.4000;    0;0.0000;    0
2017-04-22 22:06:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.4800;    0;0.0000;    0
2017-04-22 22:07:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.4800;    0;0.0000;    0
2017-04-22 22:08:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.4800;    0;0.0000;    0
2017-04-22 22:09:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.4000;    0;0.0000;    0
2017-04-22 22:10:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.4000;    0;0.0000;    0
2017-04-22 22:11:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.3100;    0;0.0000;    0
2017-04-22 22:12:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.3100;    0;0.0000;    0
2017-04-22 22:13:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.3100;    0;0.0000;    0
2017-04-22 22:14:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.4000;    0;0.0000;    0
2017-04-22 22:15:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.4000;    0;0.0000;    0
2017-04-22 22:16:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.3100;    0;0.0000;    0
2017-04-22 22:17:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.2300;    0;0.0000;    0
2017-04-22 22:18:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.2300;    0;0.0000;    0
2017-04-22 22:19:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.1400;    0;0.0000;    0
2017-04-22 22:20:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.1400;    0;0.0000;    0
2017-04-22 22:21:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.0600;    0;0.0000;    0
2017-04-22 22:22:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.0600;    0;0.0000;    0
2017-04-22 22:23:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.0600;    0;0.0000;    0
2017-04-22 22:24:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.0600;    0;0.0000;    0
2017-04-22 22:25:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.0600;    0;0.0000;    0
2017-04-22 22:26:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.0600;    0;0.0000;    0
2017-04-22 22:27:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.0600;    0;0.0000;    0
2017-04-22 22:28:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.0600;    0;0.0000;    0
2017-04-22 22:29:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.0600;    0;0.0000;    0
2017-04-22 22:30:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.1400;    0;0.0000;    0
2017-04-22 22:31:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.9700;    0;0.0000;    0
2017-04-22 22:32:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.0600;    0;0.0000;    0
2017-04-22 22:33:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.0600;    0;0.0000;    0
2017-04-22 22:34:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.9700;    0;0.0000;    0
2017-04-22 22:35:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.9700;    0;0.0000;    0
2017-04-22 22:36:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.0600;    0;0.0000;    0
2017-04-22 22:37:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;19.0600;    0;0.0000;    0
2017-04-22 22:38:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.9700;    0;0.0000;    0
2017-04-22 22:39:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.9700;    0;0.0000;    0
2017-04-22 22:40:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.9700;    0;0.0000;    0
2017-04-22 22:41:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.9700;    0;0.0000;    0
2017-04-22 22:42:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.8900;    0;0.0000;    0
2017-04-22 22:43:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.8900;    0;0.0000;    0
2017-04-22 22:44:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.9700;    0;0.0000;    0
2017-04-22 22:45:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.8900;    0;0.0000;    0
2017-04-22 22:46:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.9700;    0;0.0000;    0
2017-04-22 22:47:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.9700;    0;0.0000;    0
2017-04-22 22:48:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.8900;    0;0.0000;    0
2017-04-22 22:49:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.8900;    0;0.0000;    0
2017-04-22 22:50:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.8900;    0;0.0000;    0
2017-04-22 22:51:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.8900;    0;0.0000;    0
2017-04-22 22:52:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.8100;    0;0.0000;    0
2017-04-22 22:53:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.8100;    0;0.0000;    0
2017-04-22 22:54:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.8100;    0;0.0000;    0
2017-04-22 22:55:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.8100;    0;0.0000;    0
2017-04-22 22:56:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.7200;    0;0.0000;    0
2017-04-22 22:57:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.8100;    0;0.0000;    0
2017-04-22 22:58:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.8100;    0;0.0000;    0
2017-04-22 22:59:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.7200;    0;0.0000;    0
2017-04-22 23:00:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.8100;    0;0.0000;    0
2017-04-22 23:01:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.8100;    0;0.0000;    0
2017-04-22 23:02:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.8100;    0;0.0000;    0
2017-04-22 23:03:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.7200;    0;0.0000;    0
2017-04-22 23:04:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.7200;    0;0.0000;    0
2017-04-22 23:05:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.7200;    0;0.0000;    0
2017-04-22 23:06:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.7200;    0;0.0000;    0
2017-04-22 23:07:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.7200;    0;0.0000;    0
2017-04-22 23:08:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.7200;    0;0.0000;    0
2017-04-22 23:09:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.6400;    0;0.0000;    0
2017-04-22 23:10:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.7200;    0;0.0000;    0
2017-04-22 23:11:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.6400;    0;0.0000;    0
2017-04-22 23:12:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.6400;    0;0.0000;    0
2017-04-22 23:13:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.6400;    0;0.0000;    0
2017-04-22 23:14:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.6400;    0;0.0000;    0
2017-04-22 23:15:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.5600;    0;0.0000;    0
2017-04-22 23:16:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.5600;    0;0.0000;    0
2017-04-22 23:17:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.5600;    0;0.0000;    0
2017-04-22 23:18:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.4800;    0;0.0000;    0
2017-04-22 23:19:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.4800;    0;0.0000;    0
2017-04-22 23:20:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.4800;    0;0.0000;    0
2017-04-22 23:21:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.3900;    0;0.0000;    0
2017-04-22 23:22:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.3900;    0;0.0000;    0
2017-04-22 23:23:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.3900;    0;0.0000;    0
2017-04-22 23:24:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.3900;    0;0.0000;    0
2017-04-22 23:25:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.3100;    0;0.0000;    0
2017-04-22 23:26:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.3100;    0;0.0000;    0
2017-04-22 23:27:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.3100;    0;0.0000;    0
2017-04-22 23:28:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.3100;    0;0.0000;    0
2017-04-22 23:29:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.3100;    0;0.0000;    0
2017-04-22 23:30:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.3100;    0;0.0000;    0
2017-04-22 23:31:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.3100;    0;0.0000;    0
2017-04-22 23:32:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.3100;    0;0.0000;    0
2017-04-22 23:33:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.3100;    0;0.0000;    0
2017-04-22 23:34:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.3100;    0;0.0000;    0
2017-04-22 23:35:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.2200;    0;0.0000;    0
2017-04-22 23:36:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.2200;    0;0.0000;    0
2017-04-22 23:37:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.2200;    0;0.0000;    0
2017-04-22 23:38:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.2200;    0;0.0000;    0
2017-04-22 23:39:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.2200;    0;0.0000;    0
2017-04-22 23:40:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.2200;    0;0.0000;    0
2017-04-22 23:41:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.1400;    0;0.0000;    0
2017-04-22 23:42:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.1400;    0;0.0000;    0
2017-04-22 23:43:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.1400;    0;0.0000;    0
2017-04-22 23:44:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.1400;    0;0.0000;    0
2017-04-22 23:45:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.1400;    0;0.0000;    0
2017-04-22 23:46:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.1400;    0;0.0000;    0
2017-04-22 23:47:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.1400;    0;0.0000;    0
2017-04-22 23:48:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.1400;    0;0.0000;    0
2017-04-22 23:49:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.1400;    0;0.0000;    0
2017-04-22 23:50:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.1400;    0;0.0000;    0
2017-04-22 23:51:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.0600;    0;0.0000;    0
2017-04-22 23:52:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.0600;    0;0.0000;    0
2017-04-22 23:53:16;1.3500;    0;0.0000;0.0000;1.3500;    0;    0;    0;    0;    0;    0;    0;    0;18.1400;    0;0.0000;    0
